"Order";"Level";"Code";"Parent";"Description";"This item includes";"This item also includes";"Rulings";"This item excludes"
"1209103";"6";"03.00.11";"03.00.1";"Ornamental fish, wild";;;;
"1209104";"6";"03.00.12";"03.00.1";"Ornamental fish, farmed";;;;
"1209105";"6";"03.00.13";"03.00.1";"Other wild, live fish, not for human consumption, including seeds and feeds for aquaculture";;;;
"1209106";"6";"03.00.14";"03.00.1";"Other farmed, live fish, not for human consumption, including seeds and feeds for aquaculture";;;;
"1209107";"5";"03.00.2";"03.00";"Fish live, fresh or chilled, for human consumption";;;;
"1209108";"6";"03.00.21";"03.00.2";"Fish, live, fresh or chilled, for human consumption, marine, not farmed";;;;
"1209109";"6";"03.00.22";"03.00.2";"Fish, live, fresh or chilled, for human consumption, freshwater, not farmed";;;;
"1209110";"6";"03.00.23";"03.00.2";"Fish, live, fresh or chilled, for human consumption, marine, farmed";;;;
"1209111";"6";"03.00.24";"03.00.2";"Fish, live, fresh or chilled, for human consumption, freshwater, farmed";;;;
"1209112";"5";"03.00.3";"03.00";"Crustaceans, not frozen";;;;
"1209113";"6";"03.00.31";"03.00.3";"Crustaceans, not frozen, not farmed";;;;
"1209114";"6";"03.00.32";"03.00.3";"Crustaceans, not frozen, farmed";;;;
"1209115";"5";"03.00.4";"03.00";"Molluscs and other aquatic invertebrates, live, fresh or chilled";;;;
"1209116";"6";"03.00.41";"03.00.4";"Oysters, live, fresh or chilled, not farmed";;;;
"1209117";"6";"03.00.42";"03.00.4";"Other molluscs, live, fresh or chilled, not farmed";;;;
"1209118";"6";"03.00.43";"03.00.4";"Oysters, live, fresh or chilled, farmed";;;;
"1209119";"6";"03.00.44";"03.00.4";"Other molluscs, live, fresh or chilled, farmed";;;;
"1209120";"6";"03.00.45";"03.00.4";"Other aquatic invertebrates, live, fresh or chilled, farmed";;;;
"1209121";"6";"03.00.46";"03.00.4";"Other aquatic invertebrates, live, fresh or chilled, not farmed";;;;
"1209122";"5";"03.00.5";"03.00";"Pearls, unworked";;;;
"1209123";"6";"03.00.51";"03.00.5";"Natural pearls, unworked";;;;
"1209124";"6";"03.00.52";"03.00.5";"Cultured pearls, unworked";;;;
"1209125";"5";"03.00.6";"03.00";"Other aquatic plants, animals and their products";;;;
"1209126";"6";"03.00.61";"03.00.6";"Coral and similar products, shells of molluscs, crustaceans or echinoderms and cuttle-bone";;;;
"1209127";"6";"03.00.62";"03.00.6";"Natural sponges of animal origin";;;;
"1209128";"6";"03.00.63";"03.00.6";"Seaweeds and other algae for human consumption, wild";;;;
"1209129";"6";"03.00.64";"03.00.6";"Seaweeds and other algae for human consumption, farmed";;;;
"1209130";"6";"03.00.65";"03.00.6";"Seaweeds and other algae not for human consumption, wild";;;;
"1209131";"6";"03.00.66";"03.00.6";"Seaweeds and other algae not for human consumption, farmed";;;;
"1209132";"6";"03.00.69";"03.00.6";"Other aquatic plants, animals and their products n.e.c.";;;;
"1209133";"5";"03.00.7";"03.00";"Support services to fishing and aquaculture";;;;
"1209134";"6";"03.00.71";"03.00.7";"Support services to fishing";;;;
"1209135";"6";"03.00.72";"03.00.7";"Support services to aquaculture";;;;
"1209136";"1";"B";;"MINING AND QUARRYING";;;;
"1209137";"2";"05";"B";"Coal and lignite";;;;
"1209138";"3";"05.1";"05";"Hard coal";;;;
"1209139";"4";"05.10";"05.1";"Hard coal";;;;
"1209140";"5";"05.10.1";"05.10";"Hard coal";;;;
"1209141";"6";"05.10.10";"05.10.1";"Hard coal";;;;
"1209142";"3";"05.2";"05";"Lignite";;;;
"1209143";"4";"05.20";"05.2";"Lignite";;;;
"1209144";"5";"05.20.1";"05.20";"Lignite";;;;
"1209145";"6";"05.20.10";"05.20.1";"Lignite";;;;
"1209146";"2";"06";"B";"Crude petroleum and natural gas";;;;
"1209147";"3";"06.1";"06";"Crude petroleum";;;;
