"Order";"Level";"Code";"Parent";"Description"
"397510";"4";"6022";"602";"Other non-scheduled passenger land transport"
"397511";"4";"6023";"602";"Freight transport by road"
"397512";"3";"603";"60";"Transport via pipelines"
"397513";"4";"6030";"603";"Transport via pipelines"
"397514";"2";"61";"I";"Water transport"
"397515";"3";"611";"61";"Sea and coastal water transport"
"397516";"4";"6110";"611";"Sea and coastal water transport"
"397517";"3";"612";"61";"Inland water transport"
"397518";"4";"6120";"612";"Inland water transport"
"397519";"2";"62";"I";"Air transport"
"397520";"3";"621";"62";"Scheduled air transport"
"397521";"4";"6210";"621";"Scheduled air transport"
"397522";"3";"622";"62";"Non-scheduled air transport"
"397523";"4";"6220";"622";"Non-scheduled air transport"
"397524";"2";"63";"I";"Supporting and auxiliary transport activities; activities of travel agencies"
"397525";"3";"630";"63";"Supporting and auxiliary transport activities; activities of travel agencies"
"397526";"4";"6301";"630";"Cargo handling"
"397527";"4";"6302";"630";"Storage and warehousing"
"397528";"4";"6303";"630";"Other supporting transport activities"
"397529";"4";"6304";"630";"Activities of travel agencies and tour operators; tourist assistance activities n.e.c."
"397530";"4";"6309";"630";"Activities of other transport agencies"
"397531";"2";"64";"I";"Post and telecommunications"
"397532";"3";"641";"64";"Post and courier activities"
"397533";"4";"6411";"641";"National post activities"
"397534";"4";"6412";"641";"Courier activities other than national post activities"
"397535";"3";"642";"64";"Telecommunications"
"397536";"4";"6420";"642";"Telecommunications"
"397537";"1";"J";;"Financial intermediation"
"397538";"2";"65";"J";"Financial intermediation, except insurance and pension funding"
"397539";"3";"651";"65";"Monetary intermediation"
"397540";"4";"6511";"651";"Central banking"
"397541";"4";"6519";"651";"Other monetary intermediation"
"397542";"3";"659";"65";"Other financial intermediation"
"397543";"4";"6591";"659";"Financial leasing"
"397544";"4";"6592";"659";"Other credit granting"
"397545";"4";"6599";"659";"Other financial intermediation n.e.c."
"397546";"2";"66";"J";"Insurance and pension funding, except compulsory social security"
"397547";"3";"660";"66";"Insurance and pension funding, except compulsory social security"
"397548";"4";"6601";"660";"Life insurance"
"397549";"4";"6602";"660";"Pension funding"
"397550";"4";"6603";"660";"Non-life insurance"
"397551";"2";"67";"J";"Activities auxiliary to financial intermediation"
"397552";"3";"671";"67";"Activities auxiliary to financial intermediation, except insurance and pension funding"
"397553";"4";"6711";"671";"Administration of financial markets"
"397554";"4";"6712";"671";"Security dealing activities"
"397555";"4";"6719";"671";"Activities auxiliary to financial intermediation n.e.c."
"397556";"3";"672";"67";"Activities auxiliary to insurance and pension funding"
"397557";"4";"6720";"672";"Activities auxiliary to insurance and pension funding"
"397558";"1";"K";;"Real estate, renting and business activities"
"397559";"2";"70";"K";"Real estate activities"
"397560";"3";"701";"70";"Real estate activities with own or leased property"
"397561";"4";"7010";"701";"Real estate activities with own or leased property"
"397562";"3";"702";"70";"Real estate activities on a fee or contract basis"
"397563";"4";"7020";"702";"Real estate activities on a fee or contract basis"
"397564";"2";"71";"K";"Renting of machinery and equipment without operator and of personal and household goods"
"397565";"3";"711";"71";"Renting of transport equipment"
"397566";"4";"7111";"711";"Renting of land transport equipment"
"397567";"4";"7112";"711";"Renting of water transport equipment"
"397568";"4";"7113";"711";"Renting of air transport equipment"
"397569";"3";"712";"71";"Renting of other machinery and equipment"
"397570";"4";"7121";"712";"Renting of agricultural machinery and equipment"
"397571";"4";"7122";"712";"Renting of construction and civil engineering machinery and equipment"
"397572";"4";"7123";"712";"Renting of office machinery and equipment (including computers)"
"397573";"4";"7129";"712";"Renting of other machinery and equipment n.e.c."
"397574";"3";"713";"71";"Renting of personal and household goods n.e.c."
"397575";"4";"7130";"713";"Renting of personal and household goods n.e.c."
"397576";"2";"72";"K";"Computer and related activities"
"397577";"3";"721";"72";"Hardware consultancy"
"397578";"4";"7210";"721";"Hardware consultancy"
"397579";"3";"722";"72";"Software consultancy and supply"
"397580";"4";"7220";"722";"Software consultancy and supply"
"397581";"3";"723";"72";"Data processing"
"397582";"4";"7230";"723";"Data processing"
"397583";"3";"724";"72";"Data base activities"
"397584";"4";"7240";"724";"Data base activities"
"397585";"3";"725";"72";"Maintenance and repair of office, accounting and computing machinery"
"397586";"4";"7250";"725";"Maintenance and repair of office, accounting and computing machinery"
"397587";"3";"729";"72";"Other computer related activities"
"397588";"4";"7290";"729";"Other computer related activities"
"397589";"2";"73";"K";"Research and development"
"397590";"3";"731";"73";"Research and experimental development on natural sciences and engineering (NSE)"
